,component,coef
california,D,1.414188830629692
colorado,E,-0.3636326668765062
connecticut,E,0.14411562842648795
florida,B,1.236387525926022
maryland,E,-0.5332240589351284
michigan,B,-0.3886267240874844
minnesota,D,-0.20746557546866612
missouri,E,-0.9239189912339208
newyork,E,0.701784540834377
oklahoma,E,-1.8633988811535687
oregon,E,0.762764416705793
pennsylvania,B,-0.4571129496798589
southcarolina,B,0.986238627107598
utah,B,1.6409809858212736
vermont,E,3.8264954688865815
virginia,E,-0.29205930369385
wisconsin,E,-1.3639794629492452
